Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,1.3003,2.7084,2.5257,0.0051822 (increase),0.52686152 (decrease),0.00068030085 (increase),7
Right-Frontal,0.85158,2.2516,1.0275,5.3151e-05 (increase),0.00029327493 (decrease),0.44043639 (increase),13
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,NA
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
