Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,1.163,2.4257,0.86928,0.0078223 (increase),0.0015537354 (decrease),0.57339117 (decrease),6
Right-Frontal,0.9193,-0.10553,0.95946,0.0010182 (decrease),0.004624703 (increase),0.86550305 (increase),9
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
