Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,-1.1176,-4.984,2.1068,0.00087085 (decrease),1.4054137e-13 (increase),0.00025836838 (increase),5
Right-Frontal,-1.6226,-3.3646,-3.0422,0.094242 (decrease),0.13439506 (increase),0.00061772443 (decrease),7
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
