Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,1.2639,0.71839,0.73989,0.68649 (decrease),0.85801853 (increase),0.28225506 (decrease),11
Right-Frontal,-0.10321,1.7024,-0.92147,0.014033 (increase),0.00058605916 (decrease),0.34256243 (decrease),6
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
