Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,-0.33981,-4.3146,0.52393,3.7532e-12 (decrease),1.015574e-13 (increase),0.039355972 (increase),8
Right-Frontal,-0.60274,0.0019969,1.53,0.06997 (increase),0.029055235 (increase),0.0006968766 (increase),5
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
