Subject,Stage1,Stage2,Event,Region,FrequencyBand,FreqRange_Hz,Mean_Stage1_dB,Mean_Stage2_dB,Direction,Z_Score,P_Value,Significant
103,early,later,eye_open,Right_Frontal,alpha,9-13Hz,13.4336003970567,11.1305548910025,Decrease,274,0.000395817058265891,1
103,early,later,eye_open,Left_Temporal,alpha,9-13Hz,13.1608850780213,11.2718904827591,Decrease,259,0.00184390839870141,1
103,early,later,eye_open,Right_Temporal,alpha,9-13Hz,13.429662076507,11.038021098703,Decrease,267,0.00082920575930732,1
103,early,later,eye_open,Left_Parietal,alpha,9-13Hz,13.1799316706115,11.1800974216808,Decrease,256,0.00245712983222335,1
103,early,later,eye_open,Right_Parietal,alpha,9-13Hz,13.4047535221275,11.0660257762438,Decrease,268,0.000747794274304567,1
103,early,later,eye_open,Left_Occipital,alpha,9-13Hz,13.2911300973626,11.1357581460513,Decrease,262,0.0013742758758317,1
103,early,later,eye_open,Right_Occipital,alpha,9-13Hz,13.307296879433,11.1166619914841,Decrease,262,0.0013742758758317,1
103,early,later,eye_closed,Left_Frontal,alpha,9-13Hz,14.3182237874524,13.5842992784326,Decrease,197,0.179318236045376,0
103,early,later,eye_closed,Right_Frontal,alpha,9-13Hz,14.252724574017,12.8914600741397,Decrease,227,0.0278068950269972,1
103,early,later,eye_closed,Left_Temporal,alpha,9-13Hz,14.4226404295563,13.4688366836365,Decrease,222,0.0396724862659754,1
103,early,later,eye_closed,Right_Temporal,alpha,9-13Hz,14.5401411009798,12.9927525506195,Decrease,242,0.00857443461110533,1
103,early,later,eye_closed,Left_Parietal,alpha,9-13Hz,14.528852486943,13.337273689294,Decrease,236,0.0140046983395002,1
103,early,later,eye_closed,Right_Parietal,alpha,9-13Hz,14.5387821642061,13.0186965381334,Decrease,243,0.00788060407334873,1
103,early,later,eye_closed,Left_Occipital,alpha,9-13Hz,14.5378398096492,13.1731396425715,Decrease,244,0.00723749486912433,1
103,early,later,eye_closed,Right_Occipital,alpha,9-13Hz,14.5377160973364,13.1177532514174,Decrease,240,0.0101279905493907,1
104,early,later,eye_open,Left_Frontal,theta,4-8Hz,14.5608677848383,16.4542609577215,Increase,39,0.00151691167732165,1
104,early,later,eye_open,Right_Frontal,theta,4-8Hz,14.0703818863812,16.8145231418777,Increase,37,0.00124410185384206,1
104,early,later,eye_open,Left_Temporal,theta,4-8Hz,14.5389616315052,16.5672798178392,Increase,34,0.000918775725442859,1
104,early,later,eye_open,Right_Temporal,theta,4-8Hz,14.2258352536938,16.6992517810394,Increase,27,0.000440938267949365,1
104,early,later,eye_open,Left_Parietal,theta,4-8Hz,14.5470096566359,16.6032186136714,Increase,27,0.000440938267949365,1
104,early,later,eye_open,Right_Parietal,theta,4-8Hz,14.3128842741572,16.6767248255232,Increase,28,0.000490824933883608,1
104,early,later,eye_open,Left_Occipital,theta,4-8Hz,14.5056678216196,16.5752243514013,Increase,30,0.000606766845636065,1
104,early,later,eye_open,Right_Occipital,theta,4-8Hz,14.4556887146892,16.5918506058755,Increase,30,0.000606766845636065,1
104,early,later,eye_closed,Left_Frontal,theta,4-8Hz,14.7420673320226,18.2489218425499,Increase,19,0.000181939675169858,1
