Subject,Stage,Event,Region,FrequencyBand,FreqRange_Hz,MeanPower_dB,StdPower_dB,N_Windows
103,early,eye_open,Left_Temporal,theta,4-8Hz,12.4931344905662,2.72580502692674,24
103,later,eye_open,Left_Temporal,theta,4-8Hz,11.3369991802355,1.71071823879537,24
103,early,eye_open,Right_Temporal,theta,4-8Hz,12.4235671345185,2.35991429823521,24
103,later,eye_open,Right_Temporal,theta,4-8Hz,11.5790630416549,2.33453038987847,24
103,early,eye_open,Left_Parietal,theta,4-8Hz,12.5984603569585,2.5808154454224,24
103,later,eye_open,Left_Parietal,theta,4-8Hz,11.389700279822,1.90308872256413,24
103,early,eye_open,Right_Parietal,theta,4-8Hz,12.4185647616446,2.4197724269235,24
103,later,eye_open,Right_Parietal,theta,4-8Hz,11.5244944698598,2.33975590466661,24
103,early,eye_open,Left_Occipital,theta,4-8Hz,12.5970908747418,2.47993660902026,24
103,later,eye_open,Left_Occipital,theta,4-8Hz,11.5078424424785,2.07059349577556,24
103,early,eye_open,Right_Occipital,theta,4-8Hz,12.5550319810342,2.455616564948,24
103,later,eye_open,Right_Occipital,theta,4-8Hz,11.4454961595214,2.38729527856508,24
103,early,eye_closed,Left_Frontal,theta,4-8Hz,13.6950838738465,2.06930766195847,24
103,later,eye_closed,Left_Frontal,theta,4-8Hz,11.421086264207,2.15176924717187,24
103,early,eye_closed,Right_Frontal,theta,4-8Hz,13.1177123323072,1.81592163119759,24
103,later,eye_closed,Right_Frontal,theta,4-8Hz,11.95481145728,1.82837840180929,24
103,early,eye_closed,Left_Temporal,theta,4-8Hz,13.6786925780281,2.03669352116863,24
103,later,eye_closed,Left_Temporal,theta,4-8Hz,11.4930717304103,2.07024884667698,24
103,early,eye_closed,Right_Temporal,theta,4-8Hz,13.1264775138762,2.01612653939227,24
103,later,eye_closed,Right_Temporal,theta,4-8Hz,11.6617020647054,1.98342191367403,24
103,early,eye_closed,Left_Parietal,theta,4-8Hz,13.6068503681369,1.98148432608985,24
103,later,eye_closed,Left_Parietal,theta,4-8Hz,11.5036469743007,2.07660471507916,24
103,early,eye_closed,Right_Parietal,theta,4-8Hz,13.2521781496385,1.97563998974339,24
103,later,eye_closed,Right_Parietal,theta,4-8Hz,11.6358541032288,1.98845015295021,24
103,early,eye_closed,Left_Occipital,theta,4-8Hz,13.5008523021343,1.94414137965346,24
103,later,eye_closed,Left_Occipital,theta,4-8Hz,11.5666435071455,2.13077087292868,24
103,early,eye_closed,Right_Occipital,theta,4-8Hz,13.4359204520647,1.95098637994295,24
103,later,eye_closed,Right_Occipital,theta,4-8Hz,11.591193794377,2.10803359582707,24
103,early,eye_open,Left_Frontal,alpha,9-13Hz,13.0948496989492,1.51392076180121,24
103,later,eye_open,Left_Frontal,alpha,9-13Hz,11.4110462258347,2.04060559771546,24
103,early,eye_open,Right_Frontal,alpha,9-13Hz,13.4336003970567,1.5432505231524,24
103,later,eye_open,Right_Frontal,alpha,9-13Hz,11.1305548910025,2.14853226517569,24
103,early,eye_open,Left_Temporal,alpha,9-13Hz,13.1608850780213,1.47616511771338,24
103,later,eye_open,Left_Temporal,alpha,9-13Hz,11.2718904827591,2.19123218128737,24
103,early,eye_open,Right_Temporal,alpha,9-13Hz,13.429662076507,1.40793927604968,24
103,later,eye_open,Right_Temporal,alpha,9-13Hz,11.038021098703,2.33626413180799,24
103,early,eye_open,Left_Parietal,alpha,9-13Hz,13.1799316706115,1.58368660305058,24
103,later,eye_open,Left_Parietal,alpha,9-13Hz,11.1800974216808,2.35470391613526,24
103,early,eye_open,Right_Parietal,alpha,9-13Hz,13.4047535221275,1.4002207238799,24
103,later,eye_open,Right_Parietal,alpha,9-13Hz,11.0660257762438,2.32431351838665,24
103,early,eye_open,Left_Occipital,alpha,9-13Hz,13.2911300973626,1.47235393623452,24
103,later,eye_open,Left_Occipital,alpha,9-13Hz,11.1357581460513,2.35552707388602,24
103,early,eye_open,Right_Occipital,alpha,9-13Hz,13.307296879433,1.45021044988988,24
103,later,eye_open,Right_Occipital,alpha,9-13Hz,11.1166619914841,2.33233577657328,24
103,early,eye_closed,Left_Frontal,alpha,9-13Hz,14.3182237874524,2.29356787341568,24
103,later,eye_closed,Left_Frontal,alpha,9-13Hz,13.5842992784326,2.00532118243973,24
103,early,eye_closed,Right_Frontal,alpha,9-13Hz,14.252724574017,2.08525513692023,24
103,later,eye_closed,Right_Frontal,alpha,9-13Hz,12.8914600741397,3.01331475662517,24
103,early,eye_closed,Left_Temporal,alpha,9-13Hz,14.4226404295563,2.16810154745136,24
103,later,eye_closed,Left_Temporal,alpha,9-13Hz,13.4688366836365,2.20288486633582,24
103,early,eye_closed,Right_Temporal,alpha,9-13Hz,14.5401411009798,1.83002684338415,24
103,later,eye_closed,Right_Temporal,alpha,9-13Hz,12.9927525506195,2.94900886961459,24
103,early,eye_closed,Left_Parietal,alpha,9-13Hz,14.528852486943,1.96688471823215,24
103,later,eye_closed,Left_Parietal,alpha,9-13Hz,13.337273689294,2.36334598635459,24
103,early,eye_closed,Right_Parietal,alpha,9-13Hz,14.5387821642061,1.83407357352285,24
103,later,eye_closed,Right_Parietal,alpha,9-13Hz,13.0186965381334,2.90387503351662,24
103,early,eye_closed,Left_Occipital,alpha,9-13Hz,14.5378398096492,1.85201586065555,24
103,later,eye_closed,Left_Occipital,alpha,9-13Hz,13.1731396425715,2.58253885453142,24
103,early,eye_closed,Right_Occipital,alpha,9-13Hz,14.5377160973364,1.82392572308978,24
103,later,eye_closed,Right_Occipital,alpha,9-13Hz,13.1177532514174,2.70494044345211,24
104,early,eye_open,Left_Frontal,theta,4-8Hz,14.5608677848383,1.67010140800341,24
104,later,eye_open,Left_Frontal,theta,4-8Hz,16.4542609577215,1.68485546845555,24
104,early,eye_open,Right_Frontal,theta,4-8Hz,14.0703818863812,2.49270849308498,24
104,later,eye_open,Right_Frontal,theta,4-8Hz,16.8145231418777,1.92104335388883,24
104,early,eye_open,Left_Temporal,theta,4-8Hz,14.5389616315052,1.70961885203454,24
104,later,eye_open,Left_Temporal,theta,4-8Hz,16.5672798178392,1.88214514172854,24
104,early,eye_open,Right_Temporal,theta,4-8Hz,14.2258352536938,2.13963353657704,24
104,later,eye_open,Right_Temporal,theta,4-8Hz,16.6992517810394,2.00796087919027,24
104,early,eye_open,Left_Parietal,theta,4-8Hz,14.5470096566359,1.69230193938243,24
104,later,eye_open,Left_Parietal,theta,4-8Hz,16.6032186136714,1.9387625298494,24
104,early,eye_open,Right_Parietal,theta,4-8Hz,14.3128842741572,2.0331330146549,24
104,later,eye_open,Right_Parietal,theta,4-8Hz,16.6767248255232,2.01749111737202,24
104,early,eye_open,Left_Occipital,theta,4-8Hz,14.5056678216196,1.75573596949583,24
104,later,eye_open,Left_Occipital,theta,4-8Hz,16.5752243514013,2.04669850676583,24
104,early,eye_open,Right_Occipital,theta,4-8Hz,14.4556887146892,1.83469619053457,24
