Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,0.61682,2.34,2.6451,7.7543e-05 (increase),0.40540463 (increase),0.0035375561 (increase),5
Right-Frontal,-0.010117,0.96632,0.075661,0.16835 (increase),0.031099084 (decrease),0.35666976 (increase),9
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
