Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,0.80976,3.9591,1.0509,2.0346e-07 (increase),8.1096858e-07 (decrease),0.55390095 (increase),8
Right-Frontal,0.49202,0.82986,0.02156,0.47529 (increase),0.021865048 (decrease),0.058472085 (decrease),11
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
