Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,-1.6765,-1.5884,3.5939,0.87521 (increase),4.5880889e-10 (increase),1.6155241e-12 (increase),7
Right-Frontal,1.6996,0.054485,0.45547,0.013529 (decrease),0.21151887 (increase),0.056659643 (decrease),7
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,NA,NA,NA,NA,NA,NA,0
Right-Occipital,NA,NA,NA,NA,NA,NA,0
Left-Parietal,NA,NA,NA,NA,NA,NA,0
Right-Parietal,NA,NA,NA,NA,NA,NA,0
