Region,Early_Median,Middle_Median,Later_Median,Early_vs_Middle,Middle_vs_Later,Early_vs_Later,Components_Processed
Left-Frontal,4.251,4.4999,4.732,0.8772 (increase),0.0634 (increase),0.1129 (increase),30
Right-Frontal,3.9465,4.6521,3.9781,0.0406 (increase),0.0274 (decrease),0.7823 (increase),21
Left-Temporal,NA,NA,NA,NA,NA,NA,0
Right-Temporal,NA,NA,NA,NA,NA,NA,0
Left-Occipital,4.1028,4.2918,5.4204,0.6750 (increase),0.0526 (increase),0.0015 (increase),10
Right-Occipital,3.4196,5.4701,4.5494,0.0065 (increase),0.2834 (decrease),0.0309 (increase),10
Left-Parietal,3.8526,4.102,4.7559,0.6260 (increase),0.7150 (increase),0.4772 (increase),8
Right-Parietal,NA,NA,NA,NA,NA,NA,0
